# Sentences appearing in many DISTINCT patents, with the vocabulary they carry.
# Each passage is ONE attestation regardless of how many documents repeat it.
# docs	n_terms	terms	passage
100	10	blossom,freshly,hay,jasmine,lily,orange,provided,sweet,vanilla,violet	among the fragrances provided in this treatise are acacia, cassie, chypre, cyclamen, fern, gardenia, hawthorn, heliotrope, honeysuckle, hyacinth, jasmine, lilac, lily, magnolia, mimosa, narcissus, freshly-cut hay, orange blossom, orchid, reseda, sweet pea, trefle, tuberose, vanilla, violet, wallflower, and the like.
120	5	apple,fruits,orange,pear,pineapple	suitable fragrances include but are not limited to fruits such as almond, apple, cherry, grape, pear, pineapple, orange, strawberry, raspberry;
109	5	forest,herbal,pleasant,spruce,woodland	other pleasant scents include herbal and woodland scents derived from pine, spruce and other forest smells.
163	3	art,pleasant,positive	in other words such a co-ingredient, to be considered as being a perfuming one, must be recognized by a person skilled in the art as being able to impart or modify in a positive or pleasant way the odor of a composition, and not just as having an odor.
160	3	art,combination,prior	the citation of any document is not an admission that it is prior art with respect to any invention disclosed or claimed herein or that it alone, or in any combination with any other reference or references, teaches, suggests or discloses any such invention.
231	2	changes,intended	it is therefore intended to cover in the appended claims all such changes and modifications that are within the scope of this invention.
224	2	intended,otherwise	instead, unless otherwise specified, each such dimension is intended to mean both the recited value and a functionally equivalent range surrounding that value.
220	2	art,changes	while particular embodiments of the present invention have been illustrated and described, it would be obvious to those skilled in the art that various other changes and modifications can be made without departing from the spirit and scope of the invention.
64	6	background,care,chemicals,give,need,perfumers	background of the invention there is an ongoing need in the fragrance industry to provide new chemicals to give perfumers and other persons the ability to create new fragrances for perfumes, colognes and personal care products.
63	6	application,base,case,effect,intended,them	the nature and type of the perfuming co-ingredients present in the base do not warrant a more detailed description here, which in any case would not be exhaustive, the skilled person being able to select them on the basis of his general knowledge and according to intended use or application and the desired organoleptic effect.
85	4	flower,lavender,musk,rose-like	musk, flower scents such as lavender-like, rose-like, iris-like, carnation-like.
59	5	already,art,describe,preparation,prior	such articles already describe the various parameters affecting the preparation of such core-shell microcapsules following prior art methods that are also further detailed and exemplified in the patent literature.
