# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
pleasant	839	838	1.00	0.194	in other words such a co-ingredient, to be considered as being a perfuming one, must be recognized by a person skilled in the art as being able to impart or modify in a positive or pleasant way the odor of a composition, and not just as having an odor
floral	431	1331	0.32	0.012	the nmr analysis of 3-(4-propyl-phenyl)-propionaldehyde was the following: 1 hnmr: 0.93 ppm (t, 3h, j=7.34 hz), 1.62 ppm (m, 2h, j=7.52 hz), 2.55 ppm (t, 2h, j=7.66 hz), 2.75 ppm (t, 2h, j=7.56 hz), 2.92 ppm (t, 2h, j=7.56 hz), 7.10 ppm (s, 4h), 9.81 ppm (s, 1h) the compound 3-(4-propyl-phenyl)-prop
fruity	375	1060	0.35	0.019	the perfumes herein can be formulated to provide desirable fruity odors, such as for example lime, lemon, orange, and the like
green	363	936	0.39	0.014	when used in a fragrance formulation this ingredient provides fruity, sweet, and green notes to make the fragrance formulation more desirable and noticeable, and add the perception of value
fresh	321	722	0.44	0.016	for example, non patent document 1 describes that various isobutyric esters are mainly used as flavors, and all these isobutyric esters are flavor materials having a fruit scent; specifically, methyl isobutyrate gives a sweet apricot-like scent, propyl isobutyrate gives a strong pineapple-like scent
top	319	831	0.38	0.047	in the mint range, for example, it is known that menthyl methyl ether intensifies the perfumery or taste mixtures of peppermint oils and particularly in top notes brings about a considerably more intensive and more complex perception although the ether itself, being a pure substance, develops no par
woody	318	907	0.35	0.041	accordingly, many trans-compounds are shown to share pronounced urine-perspiration-type odor, while the corresponding cis-compounds are odorless or at the most possess weak and undefinable flowery or woody odor
unpleasant	316	769	0.41	0.070	shampoo, shower gel; air care products (includes products that contain preferably volatile and usually pleasant-smelling compounds which advantageously can even in very small amounts mask unpleasant odors)
base	274	537	0.51	0.036	through the addition of an olfactory acceptable amount of the compound of the present invention as hereinabove described the odor notes of a consumer product base will be improved, enhanced, or modified
sweet	251	579	0.43	0.024	it can preferably be used to impart a long-lasting a flowery and/or a marine and/or a green and/or a sweet note and/or a rubbery note and/or a nutty note and/or a woody note and/or a dusty note and/or a rooty note and/or a lemon note odiferous impression to a surfactant comprising composition
musk	244	391	0.62	0.340	suitable fragrances include but are not limited to fruits such as almond, apple, cherry, grape, pear, pineapple, orange, strawberry, raspberry; musk, flower scents such as lavender-like, rose-like, iris-like, carnation-like
herbal	203	212	0.96	0.537	other pleasant scents include herbal and woodland scents derived from pine, spruce and other forest smells
citrus	185	439	0.42	0.027	while not so limited, a high volatile fragrance may be associated with a citrus character; a moderate volatile fragrance may be associated with a spicy character; and a low volatile fragrance may be associated with a woody character
mask	171	144	1.19	0.129	shampoo, shower gel; air care products (includes products that contain preferably volatile and usually pleasant-smelling compounds which advantageously can even in very small amounts mask unpleasant odors)
flower	163	61	2.67	0.509	suitable fragrances include but are not limited to fruits such as almond, apple, cherry, grape, pear, pineapple, orange, strawberry, raspberry; musk, flower scents such as lavender-like, rose-like, iris-like, carnation-like
middle	156	321	0.49	0.064	perfume molecules having ki less than 1100 can be considered high blooming molecules; those having ki greater than 1400 can be considered high skin partitioning molecules; and those between (ki of 1100-1400) can be considered middle perfume notes which generally favor neither bloom nor skin partitio
spicy	146	276	0.53	0.055	it also has a spicy peppery odor which is very commonly used in men&#39;s fragrances added for fragrance appropriateness and desirability
forest	127	9	14.11	0.858	other pleasant scents include herbal and woodland scents derived from pine, spruce and other forest smells
woodland	124	5	24.80	0.879	other pleasant scents include herbal and woodland scents derived from pine, spruce and other forest smells
spruce	124	5	24.80	0.879	other pleasant scents include herbal and woodland scents derived from pine, spruce and other forest smells
particularly	118	176	0.67	0.034	these fragrances impart a particularly long-lasting impression of freshness to typical washing or cleaning agents and cosmetics
rose	113	278	0.41	0.027	this is because fragrances and/or fragrance compositions with a rose top note and pronounced naturalness are often sought—especially for the perfuming of surfactant-containing formulations such as, for example, cleaners (in particular dishwashing compositions and all-purpose cleaners)
pleasing	96	84	1.14	0.281	preference is, however, given to using mixtures of different fragrances which together produce a pleasing fragrance note
test	92	93	0.99	0.239	the tenacity can for example be determined by applying the aroma chemical to a test strip, and by subsequent olfactory evaluation of the odor impression of the test strip
dry	92	125	0.74	0.033	dfo (dry fabric odor, or dry): dried fabrics are analyzed after the fabrics have been line-dried in a closed room for approximately twenty-four hours
apple	92	84	1.10	0.370	if this apple odor were very pleasant because the odor is reminiscent, for example, of a sweet, fully ripe apple, the odor would be termed “nice”
bottom	90	166	0.54	0.044	(iii) the base note, sometimes also called “bottom note”, gives a perfume its “durability”, persistence or staying power
interesting	89	105	0.85	0.045	such an aroma impression is stable in the wide range of compositions and, thus, contributes to a rich and interesting aroma profile of the composition
perspiration	84	31	2.71	0.321	where perspiration is present in the underarm region, extracellular enzymes-esterases, mainly proteases and/or lipases are formed by bacteria and split the esters present in the perspiration, releasing odors in the process
