# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
pleasant	2093	2043	1.02	0.104	in other words such a co-ingredient, to be considered as being a perfuming one, must be recognized by a person skilled in the art as being able to impart or modify in a positive or pleasant way the odor of a composition, and not just as having an odor
woody	1282	4336	0.30	0.025	the title ester finds limited use in perfume compositions of woody character, fougeres, pine fragrances, etc
fruity	1212	3527	0.34	0.015	4,033,993 describes, for example, methyl-1-ethynycyclohexyl carbonate having a fruity, herbal complex odor and distinct fragrance of dill
floral	1185	3245	0.37	0.013	α-allyl-4-methyl-3- a sweet, fruity, herbaceous, cyclohexene-1-methanol floral aroma with carvone- acetate like and geranyl acetate- like nuances
green	1154	3580	0.32	0.012	acetate a green, floral, minty, lemonly aroma
fresh	946	1519	0.62	0.030	thus, arctander states, regarding 1,8-cineole: &#34;fresh, diffusive, camphoraceous-cool odor of poor tenacity
sweet	937	2207	0.42	0.014	##str11## warm-camphoraceous, powerful and diffusive, basically sweet odor
accompany	714	200	3.57	0.178	such perfume compositions usually contain (a) the main note or the &#34;bouquet&#34; or foundation stone of the composition; (b) modifiers which round off and accompany the main note; (c) fixatives which include odorous substances which lend a particular note to the perfume throughout all stages of 
top	694	1323	0.52	0.024	in the mint range, for example, it is known that menthyl methyl ether intensifies the perfumery or taste mixtures of peppermint oils and particularly in top notes brings about a considerably more intensive and more complex perception although the ether itself, being a pure substance, develops no par
musk	480	867	0.55	0.223	suitable fragrances include but are not limited to fruits such as almond, apple, cherry, grape, pear, pineapple, orange, strawberry, raspberry; musk, flower scents such as lavender-like, rose-like, iris-like, carnation-like
base	458	708	0.65	0.031	through the addition of an olfactory acceptable amount of the compound of the present invention as hereinabove described the odor notes of a consumer product base will be improved, enhanced, or modified
unpleasant	452	855	0.53	0.062	shampoo, shower gel; air care products (includes products that contain preferably volatile and usually pleasant-smelling compounds which advantageously can even in very small amounts mask unpleasant odors)
spicy	436	780	0.56	0.023	it also has a spicy peppery odor which is very commonly used in men&#39;s fragrances added for fragrance appropriateness and desirability
pleasing	427	274	1.56	0.094	the cigarette when treated as indicated has a desired and pleasing aroma which is detectable in the main and side streams when the cigarette is smoked
citrus	422	769	0.55	0.024	the oxabicyclooctane derivatives and the cyclohexene alkyl and alkenyl carbinols and esters of our invention can be used to contribute green, minty, herbaceous (e.g., rosemary, garden mint, thyme, wet lettuce), sweet, fruity, woody, minty, cooling-like, eucalyptol-like, buchu-like, caraway, spicey, 
frag	418	245	1.71	0.017	the norbornane derivative(s) and one or more auxiliary perfume ingredients, including, for example, hydrocarbons, alcohols, ketones, aldehydes, nitriles, esters, lactones or cyclic esters, synthetic essential oils and natural essential oils, may be admixed so that the combined odors of the individua
tobacco	416	615	0.68	0.070	as used herein, the term &#34;enhance&#34; is intended to mean the intensification (without change in kind of quality of aroma or taste) of one or more taste and/or aroma nuances present in the organoleptic impression of smoking tobacco or a smoking tobacco substitute or a smoking tobacco flavor
add	400	133	3.01	0.400	thus, &#34;enhancement&#34; of a flavor or aroma means that the enhancement agent does not add any additional flavor note
quality	397	169	2.35	0.169	as used herein in regard to flavors, the terms &#34;alter&#34;, &#34;modify&#34; and &#34;augment&#34; in their various forms means &#34;supplying or imparting flavor character or note to otherwise bland, relatively tasteless substances or augmenting the existing flavor characteristic where a natura
herbal	380	404	0.94	0.376	other pleasant scents include herbal and woodland scents derived from pine, spruce and other forest smells
fragr	379	134	2.83	0.129	the terms “fragrance formulation”, “fragrance composition”, and “perfume composition” mean the same and refer to a consumer composition that is a mixture of compounds including, for example, alcohols, aldehydes, ketones, esters, ethers, lactones, nitriles, natural oils, synthetic oils, and mercaptan
consumable	359	167	2.15	0.401	it is a requirement that any such material be &#34;ingestibly&#34; acceptable and thus non-toxic and otherwise non-deleterious particularly from an organoleptic standpoint whereby the ultimate flavor and/or aroma of the consumable material used is not caused to have unacceptable aroma and taste nuan
cooling	357	230	1.55	0.076	the resulting soap cakes, on cooling, manifest aromas as set forth in table i of example iv
contribute	352	107	3.29	0.193	many of the natural materials which provide such fragrances and contribute such desired nuances to perfumery compositions are high in cost, unobtainable at times, vary in quality from one batch to another and/or are generally subject to the usual variations of natural products
rose	350	717	0.49	0.029	each of the detergent samples have an excellent floral honey-like, dry green hyacinth, rose and galbanum aroma
supplementing	345	101	3.42	0.194	as used herein in regard to flavors, the terms &#34;alter&#34;, &#34;modify&#34; and &#34;augment&#34; in their various forms means &#34;supplying or imparting flavor character or note to otherwise bland, relatively tasteless substances or augmenting the existing flavor characteristic where a natura
interesting	344	414	0.83	0.038	in addition, interesting amber nuances are imparted
colognes	342	352	0.97	0.041	3,927,116 of the use of such compounds in perfumery, for augmenting or enhancing the aroma of perfumes, perfumed articles and colognes, is suggested either implicitly or explicitly in u.s
earthy	335	651	0.51	0.033	the earthy and wet-green notes are quite natural in high dilution and resemble the odor of stems from plants and flowers fresh from the soil
herbaceous	335	1023	0.33	0.030	by the same token, hay, fruity, herbaceous aromas prior to and on smoking are desirable in the tobacco art for enhancing natural tobacco-like notes
manifest	333	108	3.08	0.081	the resulting soap cakes, on cooling, manifest aromas as set forth in table i of example iv
precise	332	40	8.30	0.666	in addition, selection of one or more flavoring adjuvants, as well as the quantities thereof will depend upon the precise organoleptic character desired in the finished product
minty	329	989	0.33	0.049	octane α-allyl-4-methyl-3- a sweet, anise, carvone- cyclohexenemethanol like and minty aroma
warm	296	551	0.54	0.034	______________________________________ example xvii liquid detergent containing substituted tricyclodecane derivative prepared according to one of examples i-xii concentrated liquid detergents with warm patchouli-like aromas having undertones and aroma nuances as indicated in table v, below, contain
flavoring	296	147	2.01	0.044	this invention further provides improved tobacco additives and methods whereby various desirable natural aromatic turkish tobacco flavoring characteristics with oriental notes may be imparted to smoking tobacco products and may be readily varied and controlled to produce the desired uniform flavorin
musky	291	663	0.44	0.062	musky aromas are desirable in several types of perfume compositions and for use in perfumed articles
